OBJECTID,Address,Notes,Type,Program,POINT_X,POINT_Y
1,704 Hudson Ave,RFD,Video,BlueLight,-77.598631369,43.1777860010001
2,100 Borinquen Plaza,,Video,BlueLight,-77.612384473,43.1709554020001
3,N Clinton Ave and Scrantom St,,Video,BlueLight,-77.6126915739999,43.173391802
4,Ave D and Bauman St,,Video,BlueLight,-77.6030650719999,43.180726701
5,North St and Durnan St,,Video,BlueLight,-77.59541007,43.182105602
6,Parsells Ave and Greely St,,Video,BlueLight,-77.5663818579999,43.1658134050001
7,Portland Ave and Roycroft Dr,,Video,BlueLight,-77.586813566,43.1817320000001
8,Clifford Ave and Miller St,,Video,BlueLight,-77.5885516669999,43.1755914020001
9,Joseph Ave and Seabrooke St,,Video,BlueLight,-77.6079379729999,43.178898401
10,Hudson Ave and Bernard St,,Video,BlueLight,-77.598992169,43.177232401
11,Monroe Ave and Goodman St,,Video,BlueLight,-77.592352525,43.1459345270001
12,Woodward St and Scio St,,Video,BlueLight,-77.596319369,43.1634012040001
13,Pennsylvania Ave and 1st St,,Video,BlueLight,-77.588079565,43.166280903
14,N. Goodman Ave and Short St,,Video,BlueLight,-77.5809301629999,43.167179903
15,N. Clinton Ave and Flower St,,Video,BlueLight,-77.613261574,43.1765156000001
16,Remington St and DeJonge St,,Video,BlueLight,-77.610392874,43.1759835
17,Remington St and Ketchum St,,Video,BlueLight,-77.610602773,43.1785997010001
18,E. Main St and Wisconsin St,,Video,BlueLight,-77.557794756,43.160106505
19,Webster Ave and Melville St,,Video,BlueLight,-77.577833563,43.1665050030001
20,Main St and Scio St,,Video,BlueLight,-77.59902297,43.158947304
21,510 Hudson Ave,,Video,BlueLight,-77.5995299699999,43.173595203
22,1415 N Clinton Ave,Redwing Plaza,Video,BlueLight,-77.6136651739999,43.1851781
23,South Ave and Alexander St,,Video,BlueLight,-77.6054844079999,43.1460668940001
24,Ave D and Conkey Ave,,Video,BlueLight,-77.6198744769999,43.1803667990001
25,Monroe Ave and Meigs St,,Video,BlueLight,-77.5946228669999,43.1470355060001
27,55 Railroad St,,Video,BlueLight,-77.586004865,43.1629717050001
28,Winton St and E Main St,,Video,BlueLight,-77.548039027,43.158817678
29,1 Driving Park Ave,Driving Park Bridge,Video,BlueLight,-77.6250350779999,43.1810846000001
30,N Union St and Pennsylvania Ave,,Video,BlueLight,-77.590937531,43.1659042300001
31,Winton Rd and East Ave,,Video,BlueLight,-77.555140753,43.145546208
32,Winton Rd and Blossom Rd,,Video,BlueLight,-77.553189354,43.1496127080001
33,1 Bausch St,Bausch St Bridge,Video,BlueLight,-77.6167979749999,43.167195502
34,Remington St and Kohlman St,,Video,BlueLight,-77.610954775,43.1818347
35,Park Ave and Berkely St,,Video,BlueLight,-77.5777597599999,43.1482576070001
36,Hudson Ave and Sobieski St,,Video,BlueLight,-77.59947897,43.1844095000001
37,Portland Ave and Clifford Ave,,Video,BlueLight,-77.590996468,43.175616801
38,Park Ave and S Goodman St,,Video,BlueLight,-77.589924964,43.150532406
39,St Paul St and Norton St,,Video,BlueLight,-77.622493677,43.1864864990001
40,Hudson Ave and Norton St,,Video,BlueLight,-77.599759171,43.1871203000001
41,Goodman St and Garson Ave,,Video,BlueLight,-77.5824603629999,43.163878503
42,Park Ave and Meigs St,,Video,BlueLight,-77.592475766,43.1511889060001
43,Holland St and Baden Pk,,Video,BlueLight,-77.603369572,43.1693777020001
44,Davis St and Lewis St,,Video,BlueLight,-77.597618869,43.165607003
45,Joseph Ave and Norton St,,Video,BlueLight,-77.608260574,43.1866917990001
46,Clinton Ave and Ave D,,Video,BlueLight,-77.613797974,43.180419601
47,Parsells St and Denver St,,Video,BlueLight,-77.5696232609999,43.1659239050001
48,Conkey Ave and Clifford Ave,,Video,BlueLight,-77.619504376,43.1748579000001
49,1500 St. Paul St,,Video,BlueLight,-77.623820079,43.185570199
50,Chestnut St and Pleasant St,,Video,BlueLight,-77.602761969,43.1598795040001
51,Hudson Ave and Holland St,,Video,BlueLight,-77.601761572,43.169150803
52,Clinton Ave and Norton St,,Video,BlueLight,-77.6138998769999,43.1865695990001
53,65 Rohr St,,Video,BlueLight,-77.588786367,43.1719403020001
54,170 East Ave,East Ave and Scio St,Video,BlueLight,-77.599932269,43.1565778040001
55,155 North Union St,Union St and Weld St.,Video,BlueLight,-77.5933474669999,43.161369404
56,80 Peck St,Facing the playground is due east,Video,BlueLight,-77.5844679639999,43.1656246040001
57,75 Roth St,Roth St and Flower St,Video,BlueLight,-77.6178360769999,43.1763278000001
58,80 William Warfield Dr,,Video,BlueLight,-77.6108837739999,43.171957902
59,228 E Main St,Main St and N Clinton Ave,Video,BlueLight,-77.606484871,43.1570865040001
60,25 Franklin St,Liberty Pole,Video,BlueLight,-77.6045671689999,43.157705805
61,E Broad St and Chestnut St,,Video,BlueLight,-77.6033440699999,43.155330405
62,E Broad St and S Clinton Ave,,Video,BlueLight,-77.605693671,43.1552991040001
63,945 Mt Read Blvd,RPD,Video,BlueLight,-77.661795618,43.1689267200001
64,630 Colfax St,RPD - Autopound,Video,BlueLight,-77.6688900469999,43.176688025
65,Ford Street Bridge,,Video,BlueLight,-77.6161180729999,43.142904206
66,Murray St and Otis St,,Video,BlueLight,-77.642246786,43.1690841010001
67,S Plymouth Ave and Violetta St,,Video,BlueLight,-77.621085475,43.141000907
68,Fulton Ave and Locust St,,Video,BlueLight,-77.6312693799999,43.1743979
69,Jay St and Orchard St,,Video,BlueLight,-77.634408481,43.159529003
70,York St and Ruby St,,Video,BlueLight,-77.63759368,43.150506605
71,Genesee St and Sawyer St,,Video,BlueLight,-77.636099878,43.134992605
72,Chili Ave and Post Ave,,Video,BlueLight,-77.647993083,43.1464274040001
73,N Plymouth Ave and Lorimer St,,Video,BlueLight,-77.6291293799999,43.168365302
74,Dewey Ave and Driving Park,,Video,BlueLight,-77.638664883,43.1810760000001
75,Dewey Ave and Electric Ave,,Video,BlueLight,-77.638879999,43.190881614
76,W Main St and King St,,Video,BlueLight,-77.626688878,43.1525891040001
77,W Broad St and Saxton St,,Video,BlueLight,-77.632174579,43.1626600020001
78,E Main St and Gibbs St,,Video,BlueLight,-77.6011552689999,43.1585053050001
79,Jefferson Ave and Bartlett St,,Video,BlueLight,-77.6290604769999,43.142751305
80,Chili Ave and Thurston Rd,,Video,BlueLight,-77.651071283,43.1454445050001
81,Genesee St and Hawley St,,Video,BlueLight,-77.635887678,43.140985406
82,Lyell Ave and Saratoga Ave,,Video,BlueLight,-77.629184478,43.1646087020001
83,Dewey Ave and Glendale St,,Video,BlueLight,-77.639560183,43.175981699
84,Smith St and W Broad St,,Video,BlueLight,-77.628688278,43.160544402
85,St Paul St and Andrews St,,Video,BlueLight,-77.6100971719999,43.1594447030001
86,Thurston Rd and Lehigh Ave,,Video,BlueLight,-77.651049885,43.1370094060001
87,Lake Ave and Beach Ave,,Video,BlueLight,-77.608576838,43.258388161
88,W Main St and State St,,Video,BlueLight,-77.6126108729999,43.1556210040001
89,S Plymouth Ave and Cottage St,Plymouth/Cottage/Jefferson,Video,BlueLight,-77.628824078,43.1350303070001
90,353 Court St,Manhattan Sq Park,Video,BlueLight,-77.602700269,43.1542356050001
91,50 Division St,,Video,BlueLight,-77.6076131729999,43.157523204
92,100 State St,Genesee Crossroads Pk,Video,BlueLight,-77.6118519729999,43.157548304
93,579 Thurston Rd,Thurston Rd/Rosalind St,Video,BlueLight,-77.650830684,43.133172507
94,685 Thurston Rd,Thurston Rd/Brook Ave,Video,BlueLight,-77.6507842839999,43.131069107
95,353 Court St,Manhattan Sq Park,Video,BlueLight,-77.601386067,43.154238605
96,353 Court St,Manhattan Sq Park,Video,BlueLight,-77.601512068,43.1536721050001
97,20 Lawrence St,,Video,BlueLight,-77.594992368,43.156229205
98,34 West Ave,West Ave/Algonqui Terrace,Video,BlueLight,-77.6384829799999,43.1499692040001
99,507 Maple St,Child St/ Maple St,Video,BlueLight,-77.638698081,43.155293602
100,Lake Ave and Ravine Ave,,Video,BlueLight,-77.629991479,43.1758716000001
101,S Plymouth Ave and Fitzhugh St,,Video,BlueLight,-77.612967673,43.1491432060001
102,200 S Plymouth Ave,,Video,BlueLight,-77.613753373,43.150976605
103,1099 Jay St,RPD,Video,BlueLight,-77.6507918029999,43.158369545
104,Chestnut St,,Video,BlueLight,-77.602377068,43.1514424050001
105,Dayton St and Bauman St,,Video,BlueLight,-77.6030395719999,43.1815540000001
106,36 E Main St,(River/Park Trail),Video,BlueLight,-77.610873844,43.156214908
107,Ackerman St and Heidelberg St, rear of Plaza,Video,BlueLight,-77.5762287649999,43.1701345550001
108,4650 Portside Dr,"Future Marina (estimate, not actual location)",Video,BlueLight,-77.6093114029999,43.256246952
109,4764 Lake Ave,"Future Marina (estimate, not actual location)",Video,BlueLight,-77.609231409,43.2570866880001
111,261 Child St,RPD - SOD,Video,BlueLight,-77.639275701,43.157189014
112,630 N Clinton Ave,RPD - Clinton/Goodman,Video,BlueLight,-77.610080007,43.1689651190001
113,E Broad St and Exchange Blvd,Blue Cross Arena,Video,BlueLight,-77.6115462719999,43.1543657030001
114,185 Exchange Blvd,PSB - RPD/RFD,Video,BlueLight,-77.611121769,43.151625091
115,NE Corner of Broad St Bridge,,Video,BlueLight,-77.608839159,43.154768952
116,Fairbanks Ave and Hudson Ave,,Video,BlueLight,-77.5993636699999,43.1821701010001
117,N Clinton Ave and Oscar St,,Video,BlueLight,-77.6137177749999,43.1831745860001
118,Treyer St and Lill St,,Video,BlueLight,-77.616578075,43.1771611
119,Bay St and Rohr St,,Video,BlueLight,-77.58940573,43.1707705420001
120,Clifford Ave and Sixth St,,Video,BlueLight,-77.582094147,43.1757727310001
121,Portland Ave and Dickinson St ,,Video,BlueLight,-77.5840617229999,43.186651612
122,210 Troup St,,Video,BlueLight,-77.622697607,43.1513336290001
123,Genesee St and Kirkland Rd,,Video,BlueLight,-77.636197293,43.146474407
124,Arnett Blvd and Rugby Ave,,Video,BlueLight,-77.6434744539999,43.142177582
125,Child St and Danforth St,,Video,BlueLight,-77.638897577,43.151715305
126,Jefferson Ave and Flint St,,Video,BlueLight,-77.628823212,43.1399495650001
127,S Clinton Ave and Caroline St,,Video,BlueLight,-77.595367811,43.13889758
129,Main St and Sidney St,,Video,BlueLight,-77.571022823,43.1604255930001
130,530 Webster Ave,,Video,BlueLight,-77.570595097,43.1704808100001
131,202 Grand Ave,,Video,BlueLight,-77.574962483,43.1648720680001
132,Lyell Ave and Murray St,,Video,BlueLight,-77.642257747,43.1646395770001
133,Jay St and Child St,,Video,BlueLight,-77.6389726799999,43.1594206720001
134,Lyell Ave and Child St,,Video,BlueLight,-77.638753585,43.1645578420001
135,Dewey Ave and Lexington Ave,,Video,BlueLight,-77.6395984759999,43.1792511310001
136,Otis St and Warner St,,Video,BlueLight,-77.644472094,43.1689851460001
137,Plymouth Ave and Spencer St,,Video,BlueLight,-77.6271605009999,43.165708528
138,East Ave and Alexander St,,Video,BlueLight,-77.594336429,43.154963228
139,Portland Ave and Grafton St,,Video,BlueLight,-77.585300866,43.1835216000001
172,Alexander St and University Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.592755761,43.1582676150001
173,Court St and Chestnut St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.6031987699999,43.1543885620001
174,N Goodman St and E Main St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.583594712,43.162059561
175,S Goodman St and Interstate 490,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.594788738,43.1418216170001
176,State St and Allen St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.615909823,43.1587995720001
177,West Ave and Ames St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.643865734,43.1499846140001
178,W Main St and Brown/Genesee St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.636098746,43.150271543
179,691 St Paul St @ pedestrian crossing,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.618241494,43.1683253780001
180,N Clinton Ave and Andrews St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.607619722,43.160075566
181,N Clinton Ave and Norton St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.6137937519999,43.1864615270001
182,North St at Clifford Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.5951437699999,43.1753816070001
183,Broadway St at Alexander St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.600163842,43.1467175830001
184,State St at Jay St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.62161078,43.1632236070001
185,East Ave and Culver Rd,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.571699743,43.1495175680001
186,Dewey Ave and Ridgeway Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.6388767609999,43.1938485410001
187,St. Paul St and Upper Falls Blvd,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.61690981,43.1673705800001
188,Brown St and Broad St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.625165786,43.158114535
189,Lyell Ave and Murray St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.6422577449999,43.1646395750001
190,Maple St and Saxton St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.6323148449999,43.1553575770001
191,W Main St and Broad/Ford St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.620435828,43.153901546
192,W Ridge Rd and Ridgway Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.627736807,43.194180589
193,Lake Ave and Ridge Rd,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.628793843,43.1946996
194,Norton St and Hudson Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.599573801,43.1868205850001
195,Lake Ave and Ridgeway Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.629003816,43.193843599
196,Lake Ave and Driving Park Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.631740795,43.1809455370001
197,W Ridge Rd and Bonesteel St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.651702762,43.203338581
198,Mt Read Blvd and Lyell Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.659558779,43.164666583
199,Mt Read Blvd and Emerson St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.659579853,43.1738556010001
200,Mt Read Blvd and Driving Park Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.659594824,43.187360621
201,Monroe Ave and Alexander St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.597663812,43.1488385480001
202,N Goodman St and Clifford Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.5761797709999,43.1758195630001
203,Mt Hope Ave and Elmwood Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.617052766,43.1248333010001
204,Lyell Ave and Murray St,,Video,BlueLight,-77.642090254,43.164575449
205,Avenue A and Conkey Ave,,Video,BlueLight,-77.619833131,43.1777828460001
206,Genesee St and Magnolia St,,Video,BlueLight,-77.636000499,43.1379239450001
208,Bay St and Webster Ave,,Video,BlueLight,-77.5694921099999,43.1712943950001
209,State St and Smith St,,Video,BlueLight,-77.623160838,43.164588688
210,Bay St and Portland Ave,,Video,BlueLight,-77.5945882999999,43.1706692830001
211,Lyell Ave and N Plymouth Ave,,Video,BlueLight,-77.626301317,43.1646425230001
212,W Main St and Henion St,,Video,BlueLight,-77.6342797309999,43.1507263710001
213,Hudson Ave and Avenue D,,Video,BlueLight,-77.599197568,43.1808654970001
